SEASON,TEAM_ID,TEAM_NAME,GP,W,L,WIN_PCT,NET_RATING,OFF_RATING,DEF_RATING,PACE,EFG_PCT,TEAM_ABBREVIATION,CONFERENCE,PRIMARY_COLOR,LOGO_URL
2022-23,1610612745,Houston Rockets,82,22,60,0.268,-8.1,110.5,118.6,99.74,0.516,HOU,West,#CE1141,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
2022-23,1610612759,San Antonio Spurs,82,22,60,0.268,-9.9,109.7,119.6,102.07,0.525,SAS,West,#C4CED4,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
2023-24,1610612738,Boston Celtics,82,64,18,0.78,11.7,122.2,110.6,97.98,0.578,BOS,East,#007A33,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
2023-24,1610612760,Oklahoma City Thunder,82,57,25,0.695,7.3,118.3,111.0,100.85,0.573,OKC,West,#007AC1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
2023-24,1610612750,Minnesota Timberwolves,82,56,26,0.683,6.3,114.6,108.4,97.79,0.559,MIN,West,#0C2340,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
2023-24,1610612743,Denver Nuggets,82,57,25,0.695,5.5,117.8,112.3,97.43,0.562,DEN,West,#0E2240,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
2023-24,1610612752,New York Knicks,82,50,32,0.61,4.9,117.3,112.4,95.96,0.54,NYK,East,#006BB6,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
2023-24,1610612740,New Orleans Pelicans,82,49,33,0.598,4.6,116.5,111.9,98.7,0.558,NOP,West,#0C2340,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
2023-24,1610612746,LA Clippers,82,51,31,0.622,3.4,117.9,114.6,97.93,0.561,LAC,West,#C8102E,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
2023-24,1610612755,Philadelphia 76ers,82,47,35,0.573,3.1,116.2,113.0,98.17,0.532,PHI,East,#006BB6,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
2023-24,1610612756,Phoenix Suns,82,49,33,0.598,3.1,116.8,113.7,99.0,0.565,PHX,West,#1D1160,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
2023-24,1610612754,Indiana Pacers,82,47,35,0.573,2.9,120.5,117.6,102.16,0.578,IND,East,#002D62,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
2023-24,1610612749,Milwaukee Bucks,82,49,33,0.598,2.6,117.6,115.0,100.51,0.568,MIL,East,#00471B,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
2023-24,1610612739,Cleveland Cavaliers,82,48,34,0.585,2.5,114.7,112.1,97.62,0.557,CLE,East,#860038,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
2023-24,1610612744,Golden State Warriors,82,46,36,0.561,2.4,116.9,114.5,99.91,0.557,GSW,West,#1D428A,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
2023-24,1610612753,Orlando Magic,82,47,35,0.573,2.2,112.9,110.8,97.37,0.541,ORL,East,#0077C0,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
2023-24,1610612742,Dallas Mavericks,82,50,32,0.61,2.1,117.0,114.9,100.6,0.562,DAL,West,#00538C,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
